"","stcd2","cycle","stateabrev","stcd","dem_share","dem_share_imputed","dpres","incumb","winner_dem","uncontested","votes_dem","votes_rep","votes_dem_est","votes_rep_est","chamber"
"1","1970s_201",1972,"AK","201",0.562373560025576,0.562373560025576,37.33,1,0,0,53651,41750,53651,41750,"us_house"
"2","1970s_101",1972,"AL","101",0.188868124966076,0.188868124966076,24.27,-1,0,0,24357,104606,24357,104606,"us_house"
"3","1970s_102",1972,"AL","102",0.430585767832723,0.430585767832723,22.46,-1,0,0,60769,80362,60769,80362,"us_house"
"4","1970s_103",1972,"AL","103",0.785911797514494,0.785911797514494,25.34,1,1,0,100045,27253,100045,27253,"us_house"
"5","1970s_104",1972,"AL","104",0.698874442072579,0.698874442072579,22.42,1,1,0,108039,46551,108039,46551,"us_house"
"6","1970s_105",1972,"AL","105",0.752315175819687,0.752315175819687,25.44,1,1,0,101303,33352,101303,33352,"us_house"
"7","1970s_106",1972,"AL","106",0.373277350064385,0.373277350064385,27.8,-1,0,0,54497,91499,54497,91499,"us_house"
"8","1970s_107",1972,"AL","107",1,0.65048248203892,33.96,1,1,1,95060,0,62615.6397132487,33644.6615895345,"us_house"
"9","1970s_401",1972,"AR","401",NA,0.671168935910304,31.42,1,1,1,0,0,114084.544783875,55894.3363589816,"us_house"
"10","1970s_402",1972,"AR","402",NA,0.629609982274546,35.93,1,1,1,0,0,120916.474806975,71133.330963494,"us_house"
"11","1970s_403",1972,"AR","403",0.227107969976263,0.227107969976263,25.7,-1,0,0,42481,144571,42481,144571,"us_house"
"12","1970s_404",1972,"AR","404",NA,0.514744030572366,31.36,0,1,1,0,0,76807.6182880882,72407.5522165264,"us_house"
"13","1970s_301",1972,"AZ","301",0.426781044936695,0.426781044936695,32.12,-1,0,0,59900,80453,59900,80453,"us_house"
"14","1970s_302",1972,"AZ","302",0.634677901745078,0.634677901745078,42.54,1,1,0,97616,56188,97616,56188,"us_house"
"15","1970s_303",1972,"AZ","303",0.369763079274647,0.369763079274647,28.24,-1,0,0,53220,90710,53220,90710,"us_house"
"16","1970s_304",1972,"AZ","304",0.470472339879348,0.470472339879348,28.84,0,0,0,73309,82511,73309,82511,"us_house"
"17","1970s_501",1972,"CA","501",0.354649143650953,0.354649143650953,43.57,-1,0,0,77610,141226,77610,141226,"us_house"
"18","1970s_502",1972,"CA","502",0.704559691404833,0.704559691404833,44.83,1,1,0,149590,62727,149590,62727,"us_house"
"19","1970s_503",1972,"CA","503",0.699093104274576,0.699093104274576,50.78,1,1,0,151706,65298,151706,65298,"us_house"
"20","1970s_504",1972,"CA","504",0.674401153724396,0.674401153724396,45.92,1,1,0,115038,55540,115038,55540,"us_house"
"21","1970s_505",1972,"CA","505",0.818818501958612,0.818818501958612,64.04,1,1,0,124164,27474,124164,27474,"us_house"
"22","1970s_506",1972,"CA","506",0.479203647627998,0.479203647627998,47.72,-1,0,0,110144,119704,110144,119704,"us_house"
"23","1970s_507",1972,"CA","507",0.594440281030445,0.594440281030445,64.81,1,1,0,126913,86587,126913,86587,"us_house"
"24","1970s_508",1972,"CA","508",0.528953050646479,0.528953050646479,47.75,0,1,0,102153,90970,102153,90970,"us_house"
"25","1970s_509",1972,"CA","509",0.741883757942729,0.741883757942729,52.38,1,1,0,123994,43140,123994,43140,"us_house"
"26","1970s_510",1972,"CA","510",0.353801667733365,0.353801667733365,39.5,-1,0,0,76839,140342,76839,140342,"us_house"
"27","1970s_511",1972,"CA","511",0.621083334240284,0.621083334240284,46.52,0,1,0,114134,69632,114134,69632,"us_house"
"28","1970s_512",1972,"CA","512",0.443651504769936,0.443651504769936,43.93,-1,0,0,84174,105556,84174,105556,"us_house"
"29","1970s_513",1972,"CA","513",0.261371491110172,0.261371491110172,35.74,-1,0,0,54451,153877,54451,153877,"us_house"
"30","1970s_514",1972,"CA","514",0.775666084111831,0.775666084111831,45.22,1,1,0,159335,46082,159335,46082,"us_house"
"31","1970s_515",1972,"CA","515",NA,0.640455706315991,44.49,1,1,1,0,0,103398.70860356,58046.8177363126,"us_house"
"32","1970s_516",1972,"CA","516",0.791259873640992,0.791259873640992,47.65,1,1,0,134132,35385,134132,35385,"us_house"
"33","1970s_517",1972,"CA","517",0.359347971379148,0.359347971379148,47.84,-1,0,0,73123,130365,73123,130365,"us_house"
"34","1970s_518",1972,"CA","518",0.336355749418612,0.336355749418612,39.53,-1,0,0,55829,110153,55829,110153,"us_house"
"35","1970s_519",1972,"CA","519",0.707059287850105,0.707059287850105,41.01,1,1,0,105699,43792,105699,43792,"us_house"
"36","1970s_520",1972,"CA","520",0.426186130958804,0.426186130958804,32.15,0,0,0,90842,122309,90842,122309,"us_house"
"37","1970s_521",1972,"CA","521",0.829269143859221,0.829269143859221,74.35,1,1,0,95050,19569,95050,19569,"us_house"
"38","1970s_522",1972,"CA","522",0.69795341079418,0.69795341079418,43.84,1,1,0,123863,53603,123863,53603,"us_house"
"39","1970s_523",1972,"CA","523",0.385716255061039,0.385716255061039,29.78,-1,0,0,75546,120313,75546,120313,"us_house"
"40","1970s_524",1972,"CA","524",0.298593359723054,0.298593359723054,27.19,-1,0,0,61326,144057,61326,144057,"us_house"
"41","1970s_525",1972,"CA","525",0.329594131808267,0.329594131808267,29.61,-1,0,0,58323,118631,58323,118631,"us_house"
"42","1970s_526",1972,"CA","526",0.711223721449529,0.711223721449529,54.85,1,1,0,164351,66731,164351,66731,"us_house"
"43","1970s_527",1972,"CA","527",0.425664469794205,0.425664469794205,36.4,-1,0,0,88548,119475,88548,119475,"us_house"
"44","1970s_528",1972,"CA","528",0.382017197601724,0.382017197601724,43.86,-1,0,0,89520,144815,89520,144815,"us_house"
"45","1970s_529",1972,"CA","529",0.65186807632366,0.65186807632366,45.61,1,1,0,92856,49590,92856,49590,"us_house"
"46","1970s_530",1972,"CA","530",0.705013073663331,0.705013073663331,52.05,1,1,0,78193,32717,78193,32717,"us_house"
"47","1970s_531",1972,"CA","531",0.552017318190375,0.552017318190375,42.69,1,1,0,87975,71395,87975,71395,"us_house"
