stpost,district,incname,incparty,d24,r24,tot24,pcd24,pcr24,marg24,d20,r20,tot20,pcd20,pcr20,marg20
AK,1,Nick Begich,R,140026,184458,338177,0.4141,0.5454,-0.1314,153778,189951,357569,0.4301,0.5312,-0.1012
AL,1,Barry Moore,R,73003,257060,332700,0.2194,0.7726,-0.5532,79112,243258,325715,0.2429,0.7468,-0.5040
AL,2,Shomari Figures,D,155603,131721,290033,0.5365,0.4542,0.0823,174051,135333,312225,0.5575,0.4334,0.1240
AL,3,Mike Rogers,R,82654,229676,314869,0.2625,0.7294,-0.4669,93357,225360,322031,0.2899,0.6998,-0.4099
AL,4,Robert Aderholt,R,53098,267953,323449,0.1642,0.8284,-0.6643,60121,262473,325713,0.1846,0.8058,-0.6213
AL,5,Dale Strong,R,122344,224704,351650,0.3479,0.6390,-0.2911,122867,216418,344866,0.3563,0.6275,-0.2713
AL,6,Gary Palmer,R,105388,239984,349125,0.3019,0.6874,-0.3855,107324,241583,353116,0.3039,0.6841,-0.3802
AL,7,Terri Sewell,D,180321,111517,294526,0.6122,0.3786,0.2336,212792,116745,332305,0.6404,0.3513,0.2890
AR,1,Rick Crawford,R,72183,196035,273446,0.2640,0.7169,-0.4529,80516,197832,286792,0.2807,0.6898,-0.4091
AR,2,French Hill,R,131089,180710,319500,0.4103,0.5656,-0.1553,140254,183964,333041,0.4211,0.5524,-0.1312
AR,3,Steve Womack,R,112073,189161,309672,0.3619,0.6108,-0.2489,110479,180794,300274,0.3679,0.6021,-0.2342
AR,4,Bruce Westerman,R,81560,193335,280058,0.2912,0.6903,-0.3991,92683,198057,298962,0.3100,0.6625,-0.3525
AZ,1,David Schweikert,R,216232,230237,450734,0.4797,0.5108,-0.0311,231887,225013,462784,0.5011,0.4862,0.0149
AZ,2,Eli Crane,R,174969,237306,416477,0.4201,0.5698,-0.1497,183714,215659,405633,0.4529,0.5317,-0.0788
AZ,3,Yassamin Ansari,D,147522,62762,213222,0.6919,0.2944,0.3975,170840,54754,229285,0.7451,0.2388,0.5063
AZ,4,Greg Stanton,D,182893,159723,347506,0.5263,0.4596,0.0667,201238,162975,371497,0.5417,0.4387,0.1030
AZ,5,Andy Biggs,R,175673,264571,445025,0.3947,0.5945,-0.1998,171278,239646,417419,0.4103,0.5741,-0.1638
AZ,6,Juan Ciscomani,R,216024,219323,440175,0.4908,0.4983,-0.0075,214896,214580,436079,0.4928,0.4921,0.0007
AZ,7,[VACANT],D,170352,108028,281685,0.6048,0.3835,0.2213,194860,97580,296840,0.6564,0.3287,0.3277
AZ,8,Abe Hamadeh,R,162183,226186,392023,0.4137,0.5770,-0.1633,171266,225761,402630,0.4254,0.5607,-0.1353
AZ,9,Paul Gosar,R,137012,262106,402472,0.3404,0.6512,-0.3108,132165,225719,363126,0.3640,0.6216,-0.2576
CA,1,Doug LaMalfa,R,118090,199649,326893,0.3612,0.6107,-0.2495,136550,203077,348189,0.3922,0.5832,-0.1911
CA,2,Jared Huffman,D,276863,100474,390600,0.7088,0.2572,0.4516,310592,101570,422441,0.7352,0.2404,0.4948
CA,3,Kevin Kiley,R,201922,218497,434048,0.4652,0.5034,-0.0382,211790,219762,442451,0.4787,0.4967,-0.0180
CA,4,Mike Thompson,D,225203,115410,351669,0.6404,0.3282,0.3122,250308,113844,373278,0.6706,0.3050,0.3656
CA,5,Tom McClintock,R,151686,219092,380505,0.3986,0.5758,-0.1771,171424,220770,401076,0.4274,0.5504,-0.1230
CA,6,Ami Bera,D,166463,124666,301412,0.5523,0.4136,0.1387,192873,131468,333336,0.5786,0.3944,0.1842
CA,7,Doris Matsui,D,195104,103118,309198,0.6310,0.3335,0.2975,228897,102737,339420,0.6744,0.3027,0.3717
CA,8,John Garamendi,D,200015,75771,285116,0.7015,0.2658,0.4358,244070,70550,321343,0.7595,0.2195,0.5400
CA,9,Josh Harder,D,122904,127491,258203,0.4760,0.4938,-0.0178,157640,121642,285397,0.5524,0.4262,0.1261
CA,10,Mark DeSaulnier,D,247321,119198,379290,0.6521,0.3143,0.3378,280973,119815,409383,0.6863,0.2927,0.3937
CA,11,Nancy Pelosi,D,295463,50870,361182,0.8180,0.1408,0.6772,339795,46210,393814,0.8628,0.1173,0.7455
CA,12,Lateefah Simon,D,269148,33869,318386,0.8454,0.1064,0.7390,328830,31734,368206,0.8931,0.0862,0.8069
CA,13,Adam Gray,D,100559,112433,218799,0.4596,0.5139,-0.0543,125261,100222,230706,0.5429,0.4344,0.1085
CA,14,Eric Swalwell,D,191274,88263,290778,0.6578,0.3035,0.3543,239561,87626,334248,0.7167,0.2622,0.4546
CA,15,Kevin Mullin,D,220603,74250,305590,0.7219,0.2430,0.4789,272883,71552,351079,0.7773,0.2038,0.5735
CA,16,Sam Liccardo,D,249344,82398,344065,0.7247,0.2395,0.4852,288193,85593,382082,0.7543,0.2240,0.5303
CA,17,Ro Khanna,D,176438,76249,264323,0.6675,0.2885,0.3790,219542,76381,301898,0.7272,0.2530,0.4742
CA,18,Zoe Lofgren,D,149269,79571,236237,0.6319,0.3368,0.2950,190117,72029,267951,0.7095,0.2688,0.4407
CA,19,Jimmy Panetta,D,246403,116909,376513,0.6544,0.3105,0.3439,283245,119900,412573,0.6865,0.2906,0.3959
CA,20,Vince Fong,R,110642,210246,328446,0.3369,0.6401,-0.3033,127496,214492,349862,0.3644,0.6131,-0.2487
CA,21,Jim Costa,D,101220,93644,200112,0.5058,0.4680,0.0379,133827,87856,226362,0.5912,0.3881,0.2031
CA,22,David Valadao,R,79359,89469,173377,0.4577,0.5160,-0.0583,103963,79681,188155,0.5525,0.4235,0.1290
CA,23,Jay Obernolte,R,110434,156700,274456,0.4024,0.5709,-0.1686,130953,160218,298346,0.4389,0.5370,-0.0981
CA,24,Salud Carbajal,D,214713,126508,352206,0.6096,0.3592,0.2504,240344,130117,379418,0.6335,0.3429,0.2905
CA,25,Raul Ruiz,D,125529,119328,250727,0.5007,0.4759,0.0247,150324,109749,265268,0.5667,0.4137,0.1530
CA,26,Julia Brownley,D,190849,145316,345925,0.5517,0.4201,0.1316,222994,147422,378303,0.5895,0.3897,0.1998
CA,27,George Whitesides,D,157170,145061,311417,0.5047,0.4658,0.0389,188108,145890,341467,0.5509,0.4272,0.1236
CA,28,Judy Chu,D,204263,115237,330517,0.6180,0.3487,0.2694,242549,117111,366847,0.6612,0.3192,0.3419
CA,29,Luz Rivas,D,154257,72714,234315,0.6583,0.3103,0.3480,204924,63885,274903,0.7454,0.2324,0.5130
CA,30,Laura Friedman,D,233138,94036,338818,0.6881,0.2775,0.4106,273895,98576,379374,0.7220,0.2598,0.4621
CA,31,Gil Cisneros,D,151581,106588,266185,0.5695,0.4004,0.1690,198028,102679,307073,0.6449,0.3344,0.3105
