"","stdistdecade","cycle","stateabrev","distnamez","distz","post","dem_share","dem_share_imputed","pres_dem_prop","pres_dem_prop_2012","pres_dem_prop_2016","pres_dem_prop_2020","pres_dem_prop_2024","incumb","gov_sen_dem_prop","party_winner","chamber"
"1","al100001",1972,"al","","100",0,NA,0.715247149581172,0.381199415505128,NA,NA,NA,NA,0,0.755345698376831,NA,"state_house"
"2","al100001",1974,"al","","100",0,0.837222956113313,0.833371307738392,0.381199415505128,NA,NA,NA,NA,0,0.755345698376831,"d","state_house"
"3","al100001",1976,"al","","100",0,NA,0.752791584945896,0.381199415505128,NA,NA,NA,NA,0,0.755345698376831,"d","state_house"
"4","al100001",1978,"al","","100",0,0.665346746575342,0.664007477757298,0.381199415505128,NA,NA,NA,NA,1,0.755345698376831,"d","state_house"
"5","al100001",1980,"al","","100",0,NA,0.61515517671541,0.381199415505128,NA,NA,NA,NA,0,0.755345698376831,"d","state_house"
"6","al100002",1982,"al","","100",0,NA,0.696356680662813,0.375760423163846,NA,NA,NA,NA,0,0.480815576975004,NA,"state_house"
"7","al100002",1984,"al","","100",0,NA,0.559867513161915,0.375760423163846,NA,NA,NA,NA,0,0.480815576975004,NA,"state_house"
"8","al100002",1986,"al","","100",0,0.159227502203702,0.165348400603,0.375760423163846,NA,NA,NA,NA,-1,0.480815576975004,"r","state_house"
"9","al100002",1988,"al","","100",0,NA,0.342336344007937,0.375760423163846,NA,NA,NA,NA,0,0.480815576975004,"r","state_house"
"10","al100002",1990,"al","","100",0,0,0.499,0.375760423163846,NA,NA,NA,NA,-1,0.480815576975004,"r","state_house"
"11","al100003",1992,"al","","100",0,NA,0.499,0.264638215303421,NA,NA,NA,NA,0,NA,"r","state_house"
"12","al100003",1994,"al","","100",0,0,0.499,0.264638215303421,NA,NA,NA,NA,-1,NA,"r","state_house"
"13","al100003",1996,"al","","100",0,NA,0.499,0.264638215303421,NA,NA,NA,NA,0,NA,"r","state_house"
"14","al100003",1998,"al","","100",0,0,0.499,0.264638215303421,NA,NA,NA,NA,-1,NA,"r","state_house"
"15","al100003",2000,"al","","100",0,NA,0.499,0.264638215303421,NA,NA,NA,NA,0,NA,"r","state_house"
"16","al100004",2002,"al","","100",0,0,0.483729552867401,0.24066898695502,NA,NA,NA,NA,-1,NA,"r","state_house"
"17","al100004",2004,"al","","100",0,NA,0.488444204569879,0.24066898695502,NA,NA,NA,NA,0,NA,"r","state_house"
"18","al100004",2006,"al","","100",0,0,0.499,0.24066898695502,NA,NA,NA,NA,-1,NA,"r","state_house"
"19","al100004",2008,"al","","100",0,NA,0.499,0.24066898695502,NA,NA,NA,NA,0,NA,"r","state_house"
"20","al100004",2010,"al","","100",0,0,0.466852299886521,0.24066898695502,NA,NA,NA,NA,-1,NA,"r","state_house"
"21","al100005",2012,"al","","100",0,NA,0.481139611443729,0.281482568118983,NA,0.258606297372199,0.304358838865767,NA,0,NA,"r","state_house"
"22","al100005",2014,"al","","100",0,0,0.463517839632043,0.281482568118983,NA,0.258606297372199,0.304358838865767,NA,-1,NA,"r","state_house"
"23","al100005",2016,"al","","100",0,NA,0.454776580145567,0.281482568118983,NA,0.258606297372199,0.304358838865767,NA,0,NA,"r","state_house"
"24","al100005",2018,"al","","100",0,0,0.468215440679417,0.281482568118983,NA,0.258606297372199,0.304358838865767,NA,-1,NA,"r","state_house"
"25","al100005",2020,"al","","100",0,NA,0.444011700300018,0.281482568118983,NA,0.258606297372199,0.304358838865767,NA,0,NA,"r","state_house"
"26","al100006",2022,"al","","100",0,0,0.418924891346236,0.290064540217623,NA,NA,0.285129080435246,0.295,0,NA,"r","state_house"
"27","al100006",2024,"al","","100",0,NA,0.422146724087091,0.290064540217623,NA,NA,0.285129080435246,0.295,0,NA,"r","state_house"
"28","al10001",1972,"al","","10",0,NA,0.431183621928215,0.470575546384978,NA,NA,NA,NA,0,0.668364906417949,NA,"state_house"
"29","al10001",1974,"al","","10",0,0.550230526571221,0.552011402813617,0.470575546384978,NA,NA,NA,NA,1,0.668364906417949,"d","state_house"
"30","al10001",1976,"al","","10",0,NA,0.58179832793461,0.470575546384978,NA,NA,NA,NA,0,0.668364906417949,"d","state_house"
"31","al10001",1978,"al","","10",0,0.576650106458481,0.575941656624303,0.470575546384978,NA,NA,NA,NA,0,0.668364906417949,"d","state_house"
"32","al10001",1980,"al","","10",0,NA,0.555384778867564,0.470575546384978,NA,NA,NA,NA,0,0.668364906417949,"d","state_house"
"33","al10002",1982,"al","","10",0,NA,0.935210098522573,0.339584705461462,NA,NA,NA,NA,0,0.495530543522279,NA,"state_house"
"34","al10002",1984,"al","","10",0,NA,0.968004875100616,0.339584705461462,NA,NA,NA,NA,0,0.495530543522279,NA,"state_house"
"35","al10002",1986,"al","","10",0,0.279870291843352,0.282858869020607,0.339584705461462,NA,NA,NA,NA,-1,0.495530543522279,"r","state_house"
"36","al10002",1988,"al","","10",0,NA,0.107372320444707,0.339584705461462,NA,NA,NA,NA,0,0.495530543522279,"r","state_house"
"37","al10002",1990,"al","","10",0,1,0.560498800012015,0.339584705461462,NA,NA,NA,NA,1,0.495530543522279,"d","state_house"
"38","al10003",1992,"al","","10",0,NA,0.501,0.320408940315247,NA,NA,NA,NA,0,NA,"d","state_house"
"39","al10003",1994,"al","","10",0,0,0.440882094514156,0.320408940315247,NA,NA,NA,NA,0,NA,"r","state_house"
"40","al10003",1996,"al","","10",0,NA,0.466507640068512,0.320408940315247,NA,NA,NA,NA,0,NA,"r","state_house"
"41","al10003",1998,"al","","10",0,0.403580208973571,0.403314726207674,0.320408940315247,NA,NA,NA,NA,-1,NA,"r","state_house"
"42","al10003",2000,"al","","10",0,NA,0.42888614040553,0.320408940315247,NA,NA,NA,NA,0,NA,"r","state_house"
"43","al10004",2002,"al","","10",0,0.334715356402488,0.338349640816228,0.354115663831123,NA,NA,NA,NA,0,NA,"r","state_house"
"44","al10004",2004,"al","","10",0,NA,0.456115350376152,0.354115663831123,NA,NA,NA,NA,0,NA,"r","state_house"
"45","al10004",2006,"al","","10",0,0,0.432648284945015,0.354115663831123,NA,NA,NA,NA,-1,NA,"r","state_house"
"46","al10004",2008,"al","","10",0,NA,0.46460475875463,0.354115663831123,NA,NA,NA,NA,0,NA,"r","state_house"
"47","al10004",2010,"al","","10",0,0,0.365842816037356,0.354115663831123,NA,NA,NA,NA,-1,NA,"r","state_house"
"48","al10005",2012,"al","","10",0,NA,0.499,0.435560494864397,NA,0.403052630630793,0.468068359098,NA,0,NA,"r","state_house"
"49","al10005",2014,"al","","10",0,0,0.425698854869151,0.435560494864397,NA,0.403052630630793,0.468068359098,NA,-1,NA,"r","state_house"
"50","al10005",2016,"al","","10",0,NA,0.487478023451916,0.435560494864397,NA,0.403052630630793,0.468068359098,NA,0,NA,"r","state_house"
"51","al10005",2018,"al","","10",0,0.43108534228461,0.434456785010332,0.435560494864397,NA,0.403052630630793,0.468068359098,NA,-1,NA,"r","state_house"
"52","al10005",2020,"al","","10",0,NA,0.466702073893944,0.435560494864397,NA,0.403052630630793,0.468068359098,NA,0,NA,"r","state_house"
"53","al10006",2022,"al","","10",0,0.465712876171682,0.468461474411825,0.498226776751291,NA,NA,0.495453553502582,0.501,0,NA,"r","state_house"
"54","al10006",2024,"al","","10",0,NA,0.534839167228902,0.498226776751291,NA,NA,0.495453553502582,0.501,0,NA,"r","state_house"
"55","al1001",1972,"al","","1",0,NA,0.576178400936936,0.526760062790629,NA,NA,NA,NA,0,0.7761276162931,NA,"state_house"
"56","al1001",1974,"al","","1",0,1,0.707949647183138,0.526760062790629,NA,NA,NA,NA,0,0.7761276162931,"d","state_house"
