"","stdistdecade","cycle","stateabrev","distnamez","distz","dem_share","dem_share_imputed","pres_dem_prop","pres_dem_prop_2012","pres_dem_prop_2016","pres_dem_prop_2020","incumb","gov_sen_dem_prop","party_winner","chamber"
"1","al10001",1972,"al","","10",NA,0.546120567494206,0.534736960917836,NA,NA,NA,0,0.778391121700996,NA,"state_senate"
"2","al10001",1974,"al","","10",1,0.656822688430359,0.534736960917836,NA,NA,NA,0,0.778391121700996,"d","state_senate"
"3","al10001",1976,"al","","10",NA,0.691749135139361,0.534736960917836,NA,NA,NA,0,0.778391121700996,"d","state_senate"
"4","al10001",1978,"al","","10",0.671762885147493,0.671762885147493,0.534736960917836,NA,NA,NA,0,0.778391121700996,"d","state_senate"
"5","al10001",1980,"al","","10",NA,0.671762885147493,0.534736960917836,NA,NA,NA,0,0.778391121700996,"d","state_senate"
"6","al10002",1982,"al","","10",NA,0.630474982649229,0.494247611845081,NA,NA,NA,0,0.633380644219025,NA,"state_senate"
"7","al10002",1984,"al","","10",NA,0.565476509939223,0.494247611845081,NA,NA,NA,0,0.633380644219025,NA,"state_senate"
"8","al10002",1986,"al","","10",1,0.575623212592684,0.494247611845081,NA,NA,NA,1,0.633380644219025,"d","state_senate"
"9","al10002",1988,"al","","10",NA,0.542366755556978,0.494247611845081,NA,NA,NA,0,0.633380644219025,"d","state_senate"
"10","al10002",1990,"al","","10",0.527728739270713,0.527728739270713,0.494247611845081,NA,NA,NA,0,0.633380644219025,"d","state_senate"
"11","al10003",1992,"al","","10",NA,0.527728739270713,0.437154293060303,NA,NA,NA,0,NA,"d","state_senate"
"12","al10003",1994,"al","","10",0.435131049824601,0.435131049824601,0.437154293060303,NA,NA,NA,0,NA,"r","state_senate"
"13","al10003",1996,"al","","10",NA,0.435131049824601,0.437154293060303,NA,NA,NA,0,NA,"r","state_senate"
"14","al10003",1998,"al","","10",0.602917080770367,0.602917080770367,0.437154293060303,NA,NA,NA,0,NA,"d","state_senate"
"15","al10003",2000,"al","","10",NA,0.602917080770367,0.437154293060303,NA,NA,NA,0,NA,"d","state_senate"
"16","al10004",2002,"al","","10",0.679148795776971,0.679148795776971,0.327057954146413,NA,NA,NA,1,NA,"d","state_senate"
"17","al10004",2004,"al","","10",NA,0.679148795776971,0.327057954146413,NA,NA,NA,0,NA,"d","state_senate"
"18","al10004",2006,"al","","10",1,0.571333675109031,0.327057954146413,NA,NA,NA,1,NA,"d","state_senate"
"19","al10004",2008,"al","","10",NA,0.537954789364883,0.327057954146413,NA,NA,NA,0,NA,"d","state_senate"
"20","al10004",2010,"al","","10",0.463005197836003,0.463005197836003,0.327057954146413,NA,NA,NA,0,NA,"r","state_senate"
"21","al10005",2012,"al","","10",NA,0.463005197836003,0.222459734567062,NA,0.223379959774929,0.221539509359195,0,NA,"r","state_senate"
"22","al10005",2014,"al","","10",0.479172101921906,0.479172101921906,0.222459734567062,NA,0.223379959774929,0.221539509359195,-1,NA,"r","state_senate"
"23","al10005",2016,"al","","10",NA,0.479172101921906,0.222459734567062,NA,0.223379959774929,0.221539509359195,0,NA,"r","state_senate"
"24","al10005",2018,"al","","10",0,0.468459999255702,0.222459734567062,NA,0.223379959774929,0.221539509359195,0,NA,"r","state_senate"
"25","al10005",2020,"al","","10",NA,0.43965614250003,0.222459734567062,NA,0.223379959774929,0.221539509359195,0,NA,"r","state_senate"
"26","al10006",2022,"al","","10",0,0.415487505841455,0.214515840343655,NA,NA,NA,-1,NA,"r","state_senate"
"27","al10006",2024,"al","","10",NA,0.43887951075284,0.214515840343655,NA,NA,NA,0,NA,"r","state_senate"
"28","al1001",1972,"al","","1",NA,0.599117076309,0.535722251884967,NA,NA,NA,0,0.783135305670356,NA,"state_senate"
"29","al1001",1974,"al","","1",1,0.717554420181002,0.535722251884967,NA,NA,NA,0,0.783135305670356,"d","state_senate"
"30","al1001",1976,"al","","1",NA,0.735724582532174,0.535722251884967,NA,NA,NA,0,0.783135305670356,"d","state_senate"
"31","al1001",1978,"al","","1",1,0.70569816526268,0.535722251884967,NA,NA,NA,0,0.783135305670356,"d","state_senate"
"32","al1001",1980,"al","","1",NA,0.659077021604846,0.535722251884967,NA,NA,NA,0,0.783135305670356,"d","state_senate"
"33","al1002",1982,"al","","1",NA,0.649814399986862,0.503165751792143,NA,NA,NA,0,0.683694240542965,NA,"state_senate"
"34","al1002",1984,"al","","1",NA,0.58683340486696,0.503165751792143,NA,NA,NA,0,0.683694240542965,NA,"state_senate"
"35","al1002",1986,"al","","1",1,0.710343934375114,0.503165751792143,NA,NA,NA,1,0.683694240542965,"d","state_senate"
"36","al1002",1988,"al","","1",NA,0.71780548391915,0.503165751792143,NA,NA,NA,0,0.683694240542965,"d","state_senate"
"37","al1002",1990,"al","","1",1,0.739589625976006,0.503165751792143,NA,NA,NA,1,0.683694240542965,"d","state_senate"
"38","al1003",1992,"al","","1",NA,0.554775271611474,0.466428637504578,NA,NA,NA,0,NA,"d","state_senate"
"39","al1003",1994,"al","","1",1,0.603777324478814,0.466428637504578,NA,NA,NA,1,NA,"d","state_senate"
"40","al1003",1996,"al","","1",NA,0.595383665565864,0.466428637504578,NA,NA,NA,0,NA,"d","state_senate"
"41","al1003",1998,"al","","1",0.710597756492342,0.710597756492342,0.466428637504578,NA,NA,NA,1,NA,"d","state_senate"
"42","al1003",2000,"al","","1",NA,0.710597756492342,0.466428637504578,NA,NA,NA,0,NA,"d","state_senate"
"43","al1004",2002,"al","","1",0.63697780926596,0.63697780926596,0.396675206492296,NA,NA,NA,1,NA,"d","state_senate"
"44","al1004",2004,"al","","1",NA,0.63697780926596,0.396675206492296,NA,NA,NA,0,NA,"d","state_senate"
"45","al1004",2006,"al","","1",0.638140828497312,0.638140828497312,0.396675206492296,NA,NA,NA,1,NA,"d","state_senate"
"46","al1004",2008,"al","","1",NA,0.638140828497312,0.396675206492296,NA,NA,NA,0,NA,"d","state_senate"
"47","al1004",2010,"al","","1",0.559260689122672,0.559260689122672,0.396675206492296,NA,NA,NA,0,NA,"d","state_senate"
"48","al1005",2012,"al","","1",NA,0.559260689122672,0.259027031596669,NA,0.253680442039443,0.264373621153896,0,NA,"d","state_senate"
"49","al1005",2014,"al","","1",0.373548492612986,0.373548492612986,0.259027031596669,NA,0.253680442039443,0.264373621153896,0,NA,"r","state_senate"
"50","al1005",2016,"al","","1",NA,0.373548492612986,0.259027031596669,NA,0.253680442039443,0.264373621153896,0,NA,"r","state_senate"
"51","al1005",2018,"al","","1",0.323360065803002,0.323360065803002,0.259027031596669,NA,0.253680442039443,0.264373621153896,-1,NA,"r","state_senate"
"52","al1005",2020,"al","","1",NA,0.323360065803002,0.259027031596669,NA,0.253680442039443,0.264373621153896,0,NA,"r","state_senate"
"53","al1006",2022,"al","","1",0,0.207097155043954,0.246166791323859,NA,NA,NA,-1,NA,"r","state_senate"
"54","al1006",2024,"al","","1",NA,0.225260218782491,0.246166791323859,NA,NA,NA,0,NA,"r","state_senate"
"55","al11001",1972,"al","","11",NA,0.571147192527978,0.410356481854028,NA,NA,NA,0,0.732725264227549,NA,"state_senate"
"56","al11001",1974,"al","","11",1,0.711540532419919,0.410356481854028,NA,NA,NA,0,0.732725264227549,"d","state_senate"
"57","al11001",1976,"al","","11",NA,0.730311643464125,0.410356481854028,NA,NA,NA,0,0.732725264227549,"d","state_senate"
"58","al11001",1978,"al","","11",0.705597160296091,0.705597160296091,0.410356481854028,NA,NA,NA,0,0.732725264227549,"d","state_senate"
"59","al11001",1980,"al","","11",NA,0.705597160296091,0.410356481854028,NA,NA,NA,0,0.732725264227549,"d","state_senate"
"60","al11002",1982,"al","","11",NA,0.573056328737215,0.385785737540303,NA,NA,NA,0,0.511283832210274,NA,"state_senate"
"61","al11002",1984,"al","","11",NA,0.528627455410765,0.385785737540303,NA,NA,NA,0,0.511283832210274,NA,"state_senate"
"62","al11002",1986,"al","","11",0.633871957455512,0.633871957455512,0.385785737540303,NA,NA,NA,0,0.511283832210274,"d","state_senate"
"63","al11002",1988,"al","","11",NA,0.633871957455512,0.385785737540303,NA,NA,NA,0,0.511283832210274,"d","state_senate"
"64","al11002",1990,"al","","11",1,0.648274405235658,0.385785737540303,NA,NA,NA,1,0.511283832210274,"d","state_senate"
"65","al11003",1992,"al","","11",NA,0.50264799850005,0.40437263250351,NA,NA,NA,0,NA,"d","state_senate"
"66","al11003",1994,"al","","11",0.440949768110262,0.440949768110262,0.40437263250351,NA,NA,NA,0,NA,"r","state_senate"
"67","al11003",1996,"al","","11",NA,0.440949768110262,0.40437263250351,NA,NA,NA,0,NA,"r","state_senate"
"68","al11003",1998,"al","","11",0.524782918149466,0.524782918149466,0.40437263250351,NA,NA,NA,0,NA,"d","state_senate"
"69","al11003",2000,"al","","11",NA,0.524782918149466,0.40437263250351,NA,NA,NA,0,NA,"d","state_senate"
"70","al11004",2002,"al","","11",0.671054895887111,0.671054895887111,0.417672941766346,NA,NA,NA,1,NA,"d","state_senate"
"71","al11004",2004,"al","","11",NA,0.671054895887111,0.417672941766346,NA,NA,NA,0,NA,"d","state_senate"
"72","al11004",2006,"al","","11",0.643870510092216,0.643870510092216,0.417672941766346,NA,NA,NA,1,NA,"d","state_senate"
"73","al11004",2008,"al","","11",NA,0.643870510092216,0.417672941766346,NA,NA,NA,0,NA,"d","state_senate"
"74","al11004",2010,"al","","11",0.534977987759046,0.534977987759046,0.417672941766346,NA,NA,NA,0,NA,"d","state_senate"
"75","al11005",2012,"al","","11",NA,0.534977987759046,0.221510967413249,NA,0.209258906971537,0.233763027854961,0,NA,"d","state_senate"
"76","al11005",2014,"al","","11",0.223042269721077,0.223042269721077,0.221510967413249,NA,0.209258906971537,0.233763027854961,0,NA,"r","state_senate"
"77","al11005",2016,"al","","11",NA,0.223042269721077,0.221510967413249,NA,0.209258906971537,0.233763027854961,0,NA,"r","state_senate"
"78","al11005",2018,"al","","11",0.239584210083326,0.239584210083326,0.221510967413249,NA,0.209258906971537,0.233763027854961,-1,NA,"r","state_senate"
"79","al11005",2020,"al","","11",NA,0.239584210083326,0.221510967413249,NA,0.209258906971537,0.233763027854961,0,NA,"r","state_senate"
"80","al11006",2022,"al","","11",0,0.213122314960118,0.258204941536541,NA,NA,NA,0,NA,"r","state_senate"
"81","al11006",2024,"al","","11",NA,0.239811569892945,0.258204941536541,NA,NA,NA,0,NA,"r","state_senate"
"82","al12001",1972,"al","","12",NA,0.566776435745829,0.410356481854028,NA,NA,NA,0,0.732725264227549,NA,"state_senate"
"83","al12001",1974,"al","","12",1,0.766597950577425,0.410356481854028,NA,NA,NA,1,0.732725264227549,"d","state_senate"
"84","al12001",1976,"al","","12",NA,0.659811737292137,0.410356481854028,NA,NA,NA,0,0.732725264227549,"d","state_senate"
"85","al12001",1978,"al","","12",0.53810815540777,0.53810815540777,0.410356481854028,NA,NA,NA,1,0.732725264227549,"d","state_senate"
"86","al12001",1980,"al","","12",NA,0.53810815540777,0.410356481854028,NA,NA,NA,0,0.732725264227549,"d","state_senate"
"87","al12002",1982,"al","","12",NA,0.548975293810962,0.393929712483836,NA,NA,NA,0,0.53420996264196,NA,"state_senate"
