"","cntyname","precinct","psid","district","incumb","v.d","v.r","us.pres.d","us.pres.r"
"1","Accomack","# AB - Central Absentee Precinct","PSID:1159402353","","",403,334,784,644
"2","Accomack","## Provisional","PSID:1159402353","","",0,0,3,1
"3","Accomack","101 - CHINCOTEAGUE","PSID:1159398335","100","R",321,834,444,1188
"4","Accomack","201 - ATLANTIC","PSID:1159401027","100","R",96,424,175,553
"5","Accomack","202 - GREENBACKVILLE","PSID:1159402065","100","R",182,468,302,697
"6","Accomack","301 - NEW CHURCH","PSID:1159397705","100","R",326,397,713,592
"7","Accomack","401 - BLOXOM","PSID:1159401233","100","R",63,250,141,342
"8","Accomack","402 - PARKSLEY","PSID:1159401237","100","R",115,407,218,489
"9","Accomack","403 - SAXIS","PSID:1159401235","100","R",21,117,42,153
"10","Accomack","501 - MAPPSVILLE","PSID:1159401577","100","R",204,196,397,243
"11","Accomack","502 - RUE","PSID:1159401579","100","R",232,102,385,119
"12","Accomack","601 - ACCOMAC","PSID:1159398515","100","R",295,525,486,637
"13","Accomack","602 - TANGIER","PSID:1159398511","100","R",8,166,27,221
"14","Accomack","701 - NANDUA","PSID:1159399779","100","R",523,915,805,976
"15","Accomack","801 - BOBTOWN","PSID:1159399237","100","R",146,332,202,369
"16","Accomack","802 - MELFA","PSID:1159398409","100","R",278,290,436,392
"17","Accomack","803 - WACHAPREAGUE","PSID:1159398535","100","R",111,295,138,349
"18","Accomack","901 - PAINTER","PSID:1159399009","100","R",694,509,1042,618
"19","Albemarle","# AB - Central Absentee Precinct","PSID:1159402355","","",1967,716,4707,1828
"20","Albemarle","## Provisional","PSID:1159402355","","",25,14,48,29
"21","Albemarle","101 - WOODBROOK","PSID:1159401131","57","D",1209,NA,1192,680
"22","Albemarle","103 - BRANCHLANDS","PSID:1159401119","57","D",465,NA,546,208
"23","Albemarle","104 - AGNOR-HURT","PSID:1159401135","57","D",943,NA,1106,406
"24","Albemarle","105 - DUNLORA","PSID:1159401139","57","D",1421,NA,1363,592
"25","Albemarle","106 - NORTHSIDE","PSID:1159401133","58","R",840,847,1161,901
"26","Albemarle","201 - JACK JOUETT","PSID:1159401497","25","R",748,493,897,531
"27","Albemarle","202 - UNIVERSITY HALL","PSID:1159401507","57","D",1480,NA,1851,407
"28","Albemarle","203 - GEORGETOWN","PSID:1159401503","57","D",1075,NA,1338,398
"29","Albemarle","204 - BELFIELD","PSID:1159401453","25","R",396,329,431,290
"30","Albemarle","301 - IVY","PSID:1159401773","25","R",1482,865,1692,818
"31","Albemarle","302 - RED HILL","PSID:1159401775","59","R",956,545,1103,738
"32","Albemarle","304 - EAST IVY","PSID:1159401777","25","R",364,255,397,245
"33","Albemarle","305 - COUNTRY GREEN","PSID:1159401779","59","R",875,397,957,555
"34","Albemarle","306 - PORTERS","PSID:1159401781","59","R",450,240,588,388
"35","Albemarle","307 - YELLOW MOUNTAIN","PSID:1159401783","25","R",204,175,261,202
"36","Albemarle","401 - SCOTTSVILLE","PSID:1159398159","58","R",334,462,445,590
"37","Albemarle","402 - MONTICELLO","PSID:1159398157","58","R",332,407,445,547
"38","Albemarle","405 - CALE","PSID:1159398155","57","D",2047,NA,2198,805
"39","Albemarle","406 - STONE ROBINSON","PSID:1159398151","58","R",710,1005,909,997
"40","Albemarle","501 - KESWICK","PSID:1159398451","58","R",401,359,538,397
"41","Albemarle","502 - STONY POINT","PSID:1159398447","58","R",430,470,534,530
"42","Albemarle","503 - HOLLYMEAD","PSID:1159398449","58","R",697,685,971,654
"43","Albemarle","504 - FREE BRIDGE","PSID:1159398443","57;58","D;R",1777,73,1627,823
"44","Albemarle","506 - BAKER-BUTLER","PSID:1159398439","58","R",798,988,1117,938
"45","Albemarle","601 - CROZET","PSID:1159398863","25","R",1418,872,1576,1081
"46","Albemarle","602 - FREE UNION","PSID:1159398867","58","R",392,386,484,444
"47","Albemarle","603 - EARLYSVILLE","PSID:1159398865","58","R",785,1047,1061,1045
"48","Albemarle","604 - BROWNSVILLE","PSID:1159398861","25","R",1581,1091,1802,1192
"49","Alexandria","# AB - Central Absentee Precinct","PSID:1159402567","","",5147,NA,15677,3069
"50","Alexandria","## Provisional","PSID:1159402567","","",73,NA,94,46
"51","Alexandria","101 - LADREY SENIOR BUILDING","PSID:1159400057","45","D",1017,NA,971,349
"52","Alexandria","102 - CITY HALL","PSID:1159400033","45","D",923,NA,879,413
"53","Alexandria","103 - LYLES CROUCH SCHOOL","PSID:1159400059","45","D",1497,NA,1504,497
"54","Alexandria","104 - DURANT CENTER","PSID:1159400011","45","D",1225,NA,1293,271
"55","Alexandria","105 - LEE CENTER","PSID:1159399983","45","D",1699,NA,1696,480
"56","Alexandria","106 - CORA KELLY CENTER","PSID:1159400055","45","D",1736,NA,2301,380
"57","Alexandria","107 - MT VERNON RECREATION CENTER","PSID:1159400029","45","D",2053,NA,2384,486
"58","Alexandria","108 - GEORGE WASHINGTON MIDDLE SCH","PSID:1159400051","45","D",2043,NA,2165,397
"59","Alexandria","109 - FIRE DEPARTMENT HEADQUARTERS","PSID:1159400049","45","D",1100,NA,1012,351
"60","Alexandria","110 - CHARLES HOUSTON CENTER","PSID:1159399775","45","D",1269,NA,1488,246
"61","Alexandria","111 - POTOMAC YARD","","","",572,NA,NA,NA
"62","Alexandria","201 - MAURY SCHOOL","PSID:1159398647","45","D",1386,NA,1294,299
"63","Alexandria","202 - GEORGE MASON SCHOOL","PSID:1159399697","45","D",1320,NA,1228,404
"64","Alexandria","203 - AGUDAS ACHIM SYNAGOGUE","PSID:1159399711","45","D",1421,NA,1482,296
"65","Alexandria","204 - BLESSED SACRAMENT CHURCH","PSID:1159399707","45","D",1259,NA,1186,391
"66","Alexandria","205 - DOUGLAS MACARTHUR SCHOOL","PSID:1159399709","46","D",1492,NA,1566,500
"67","Alexandria","206 - CHINQUAPIN PARK RECREATION CTR","PSID:1159399699","46","D",1141,NA,1239,356
"68","Alexandria","207 - TEMPLE BETH EL SYNAGOGUE","PSID:1159399705","46","D",1468,NA,1557,519
"69","Alexandria","208 - NOVA ARTS CENTER","PSID:1159399727","46","D",1348,NA,1722,389
"70","Alexandria","209 - JAMES K POLK SCHOOL","PSID:1159399715","46","D",1545,NA,1835,414
"71","Alexandria","210 - The Hermitage","PSID:1159399963","46","D",713,NA,805,274
"72","Alexandria","302 - PATRICK HENRY REC CENTER","PSID:1159399317","46","D",1039,NA,1407,247
"73","Alexandria","303 - CHARLES E BEATLEY LIBRARY","PSID:1159399337","46","D",1288,NA,1599,298
"74","Alexandria","304 - SAMUEL TUCKER SCHOOL","PSID:1159399335","46","D",1750,NA,2246,413
"75","Alexandria","305 - JOHN ADAMS SCHOOL","PSID:1159399315","46","D",1195,NA,1843,320
"76","Alexandria","306 - WILLIAM RAMSAY SCHOOL","PSID:1159399255","46","D",1311,NA,1985,285
"77","Alexandria","307 - SOUTH PORT","PSID:1159399313","46","D",1180,NA,1376,350
"78","Alexandria","308 - CAMERON STATION COMMUNITY CTR","PSID:1159399311","46","D",1481,NA,1408,545
"79","Alleghany","# AB - Central Absentee Precinct","PSID:1159402357","","",NA,146,203,331
"80","Alleghany","## Provisional","PSID:1159402357","","",NA,0,1,1
"81","Alleghany","101 - ARRITT","PSID:1159398771","19","R",NA,341,138,521
"82","Alleghany","103 - DAMERON","PSID:1159398773","19","R",NA,132,51,196
"83","Alleghany","201 - HUMPBACK BRIDGE","PSID:1159397745","19","R",NA,212,103,290
"84","Alleghany","202 - DOLLY ANN","PSID:1159397743","19","R",NA,258,129,360
"85","Alleghany","301 - CALLAGHAN","PSID:1159398113","19","R",NA,204,74,325
"86","Alleghany","302 - GRIFFITH","PSID:1159398111","19","R",NA,373,176,450
"87","Alleghany","401 - LOW MOOR","PSID:1159400091","19","R",NA,256,137,335
"88","Alleghany","402 - JACKSON HEIGHTS","PSID:1159400109","19","R",NA,335,141,461
"89","Alleghany","501 - IRON GATE","PSID:1159401403","19","R",NA,134,104,155
"90","Alleghany","502 - PETERS SWITCH","PSID:1159401405","19","R",NA,390,188,551
"91","Alleghany","601 - DISTRICT 1","PSID:1159399243","19","R",NA,521,397,527
"92","Alleghany","701 - DISTRICT 2","PSID:1159400707","19","R",NA,291,324,371
"93","Amelia","# AB - Central Absentee Precinct","PSID:1159402359","","",NA,260,287,511
"94","Amelia","## Provisional","PSID:1159402359","","",NA,2,6,4
"95","Amelia","101 - NUMBER ONE","PSID:1159400209","61","R",NA,599,334,740
"96","Amelia","201 - NUMBER TWO","PSID:1159397905","61","R",NA,765,400,834
"97","Amelia","301 - NUMBER THREE","PSID:1159398191","61","R",NA,736,302,892
"98","Amelia","401 - NUMBER FOUR","PSID:1159398453","61","R",NA,694,302,839
"99","Amelia","501 - NUMBER FIVE","PSID:1159398897","61","R",NA,771,497,888
"100","Amherst","# AB - Central Absentee Precinct","PSID:1159402361","","",76,231,519,654
"101","Amherst","## Provisional","PSID:1159402361","","",0,0,0,0
"102","Amherst","101 - WRIGHT SHOP","PSID:1159398231","23","R",331,279,549,435
"103","Amherst","102 - NEW GLASGOW","PSID:1159398233","24","R",NA,586,426,799
"104","Amherst","103 - COOLWELL","PSID:1159398235","24","R",NA,348,121,492
"105","Amherst","201 - COURT HOUSE","PSID:1159400661","24","R",NA,971,721,1112
"106","Amherst","202 - TEMPERANCE","PSID:1159400659","24","R",NA,405,200,569
"107","Amherst","301 - MONROE","PSID:1159402199","24","R",NA,427,217,594
"108","Amherst","302 - ELON","PSID:1159402195","24","R",74,1113,474,1450
"109","Amherst","303 - PLEASANT VIEW","PSID:1159402197","24","R",NA,270,110,322
"110","Amherst","401 - AMELON","PSID:1159399955","23;24","R;R",125,1050,711,1487
"111","Amherst","402 - LONCO","PSID:1159399957","24","R",NA,250,194,386
"112","Amherst","501 - MADISON","PSID:1159400341","23","R",502,883,815,1419
"113","Appomattox","# AB - Central Absentee Precinct","PSID:1159402363","","",47,132,137,360
"114","Appomattox","## Provisional","PSID:1159402363","","",0,1,0,1
"115","Appomattox","101 - VERA","PSID:1159401265","59","R",66,289,104,450
"116","Appomattox","102 - PAMPLIN","PSID:1159401269","59","R",165,482,282,704
"117","Appomattox","201 - CHAP","PSID:1159399897","59","R",71,149,147,210
"118","Appomattox","202 - SPOUT SPRING","PSID:1159399895","59","R",127,653,208,964
"119","Appomattox","301 - US  460","PSID:1159399441","59","R",91,390,164,545
"120","Appomattox","302 - STONEWALL","PSID:1159399439","59","R",133,439,214,625
"121","Appomattox","401 - COURTHOUSE","PSID:1159398463","59","R",173,562,329,914
"122","Appomattox","501 - OAKVILLE","PSID:1159398173","59","R",160,471,299,688
"123","Appomattox","502 - AGEE","PSID:1159403153","59","R",81,190,139,254
"124","Arlington","# AB - Central Absentee Precinct","PSID:1159402367","","",10513,285,31140,4488
"125","Arlington","## Provisional","PSID:1159402367","","",86,1,137,31
"126","Arlington","001 - ARLINGTON","PSID:1159399763","49","D",962,206,1297,245
"127","Arlington","002 - ASHTON HEIGHTS","PSID:1159400613","47","D",1321,NA,1257,275
"128","Arlington","003 - AURORA HILLS","PSID:1159400617","45","D",826,NA,730,249
"129","Arlington","004 - BALLSTON","PSID:1159399769","47","D",1194,NA,1180,322
"130","Arlington","005 - BARCROFT","PSID:1159399771","47","D",1100,NA,1077,280
"131","Arlington","006 - CRYSTAL CITY","PSID:1159399765","48","D",858,NA,939,333
"132","Arlington","007 - CHERRYDALE","PSID:1159399767","48","D",1262,NA,1170,298
"133","Arlington","008 - HUME","PSID:1159400633","49","D",1271,405,1512,412
"134","Arlington","009 - COLUMBIA","PSID:1159400641","49","D",1481,344,1450,344
"135","Arlington","010 - WILSON","PSID:1159400017","48","D",1396,NA,1589,376
"136","Arlington","011 - EAST FALLS CHURCH","PSID:1159400015","47","D",936,NA,786,260
"137","Arlington","012 - FAIRLINGTON","PSID:1159400021","45","D",1305,NA,1184,333
"138","Arlington","013 - GLEN CARLYN","PSID:1159400019","47","D",902,NA,906,256
"139","Arlington","014 - CLARENDON","PSID:1159399887","47","D",942,NA,984,224
"140","Arlington","015 - LYON PARK","PSID:1159400005","47","D",722,NA,1359,341
"141","Arlington","016 - LYON VILLAGE","PSID:1159400013","48","D",1288,NA,1236,311
"142","Arlington","017 - OVERLEE KNOLLS","PSID:1159400009","47","D",1394,NA,1251,337
"143","Arlington","018 - PARK LANE","PSID:1159400027","47","D",1571,NA,1701,401
"144","Arlington","019 - ROSSLYN","PSID:1159400023","48","D",1306,NA,1466,319
"145","Arlington","020 - THRIFTON","PSID:1159399005","48","D",1211,NA,893,345
"146","Arlington","021 - VIRGINIA HIGHLANDS","PSID:1159398917","49","D",681,251,1718,486
"147","Arlington","022 - ABINGDON","PSID:1159398919","45","D",1459,NA,1331,274
"148","Arlington","023 - WESTOVER","PSID:1159399007","47","D",1288,NA,1239,310
"149","Arlington","024 - WOODLAWN","PSID:1159398995","48","D",1646,NA,1492,354
